episode,episode_reward,episode_steps,success,collision,min_obstacle_distance,final_distance,q1_loss,q2_loss,policy_loss,alpha_loss,alpha,mean_log_prob,total_steps
0,-3755.2856546994403,600,0,0,1.946936422877474,11.498471637532017,6.482434770335322,7.093034787800001,2.442475822859484,-0.28803087604313116,0.9498569129169852,-2.5828547512275586,600
1,-4562.476474014665,600,0,0,1.5364314227513303,11.671132899130544,5.022728355328242,5.2376848083734515,11.497228735287985,-1.065032184123993,0.8253481965263685,-2.5290699847539266,1200
2,-9373.483816115753,600,0,0,5.0,13.856406460551018,8.494699115753173,9.945143984158834,27.79551718711853,-1.9544275025526683,0.6914937711755434,-2.297719802856445,1800
3,-7421.278721735449,600,0,0,1.5665414616224114,3.4617579692643123,8.873242121537526,10.517835994561514,46.846271947224935,-2.5349226907889046,0.5842391987641652,-1.719932535290718,2400
4,-8736.344287938411,600,0,0,1.3665671721094825,8.00703986841728,9.700984575748443,11.54137744108836,53.09370780944824,-2.669235983292262,0.5003216376403967,-0.8630540638168653,3000
5,-9888.002874511403,600,0,0,0.11508311858048348,3.4641016151377544,11.928640497525533,13.454152647654215,64.48680535634358,-2.8755262887477873,0.433139201849699,-0.4375645883738374,3600
6,-10328.160040492232,600,0,0,1.0556347268150896,3.290095931186796,11.178485403855642,12.770206618309022,81.75982000986735,-3.095949181318283,0.3738957058886687,-0.14930937836101899,4200
7,-10579.780515075618,600,0,0,1.2906565134373817,8.48528137423857,10.35454629500707,13.494529980818431,96.36953206380208,-3.158421887556712,0.3229777916272481,0.20347309787447254,4800
8,-7347.037518757999,600,0,0,0.6351532212041587,4.015976073364434,11.03713739792506,11.699854255517323,108.89379913330077,-3.3470297783613203,0.2789443922042847,0.37970009487122297,5400
9,-10503.289431650119,600,0,0,0.5244044591164824,3.4641016151377544,12.404865633646647,11.275083159605662,133.30246943155925,-3.4899416184425354,0.23966853486994902,0.5575684400678923,6000
10,-10822.736139060791,600,0,0,0.2008799709261646,3.4641016151377544,14.213328431447348,11.733527574539185,167.6359768676758,-3.5902909592787426,0.20563733898103237,0.7306469134800136,6600
11,-291.3434648301595,33,0,1,-0.038134890468675464,10.037642450270058,13.024622657082297,9.563362699566465,187.86161989154238,-3.7174756743691186,0.1893191748496258,0.7660760789206533,6633
12,-10524.22785574532,600,0,0,1.419505380159885,3.4641016151377544,31.59642301718394,25.419636069138846,203.42327448527018,-3.4607506453990937,0.17537180215120315,1.012118299951156,7233
13,-211.9047124470586,54,0,1,-0.017063855470916156,7.77410148433051,29.577595251577872,23.70583899815877,222.66309271918402,-3.6837343286584923,0.16159582993498556,0.9786556027829647,7287
14,-10578.667124694683,600,0,0,1.0153224139277357,3.4641016151377544,39.706239580313365,29.643527522881826,240.01243016560872,-3.181158767392238,0.1501795562605063,1.3236696154003342,7887
15,-10638.332461944892,600,0,0,0.6499042877490371,3.4641016151377544,31.764886372884114,22.195247346560162,275.4226091512044,-3.583204551432282,0.1294275565072894,1.2475313770150145,8487
16,-10638.99014145734,600,0,0,0.3991626821943597,3.4641016151377544,25.774158120950062,17.686249438126882,311.4232862345378,-3.53627819865942,0.11096702268968026,1.39161517004172,9087
17,-10825.989341187595,600,0,0,0.19901493643316504,3.4641016151377544,21.5220188721021,13.355202609300614,346.73758733113607,-3.4385049742956957,0.09538905218243598,1.5366743941108385,9687
18,-10641.544542202904,600,0,0,0.9460022746311973,3.4641016151377544,18.557601572672525,13.15757587591807,384.39640396118165,-3.67673475364844,0.0817233011002342,1.5325137203435104,10287
19,-8660.815290181969,600,0,0,1.5590185606626186,3.4641016151377544,15.671743199825286,13.597448027133941,419.9633186340332,-3.1819910900791486,0.06988651995857556,1.801560071706772,10887
20,-9959.75004023287,600,0,0,1.9086775609973317,3.4641016151377544,14.68831665356954,12.290390717188517,454.5796426900228,-2.4599165251106023,0.06192553626994292,2.116665176153183,11487
21,-10248.553548428197,600,0,0,0.8284211476318987,3.4641016151377544,13.259965775807698,11.338891433874766,487.79450291951497,-1.8047491957247257,0.054299095862855515,2.3757895097136497,12087
22,-211.16105815161168,67,0,1,-0.06257257614956813,8.143998736590818,11.949175464573191,10.333190284558196,503.28650175635494,1.1664965920039077,0.05303966059391178,3.3971867739264643,12154
23,-9353.967687990738,600,0,0,0.8347391678783497,3.3584705035057807,14.222693939208984,11.843076747655868,522.0687050882975,0.1096283266072472,0.05342885925124089,3.0373068904876708,12754
24,-8451.549091307288,600,0,0,0.5858372492905634,3.4641016151377544,13.05284800807635,12.31330474058787,550.455826365153,2.6645064267143606,0.059103686468054854,3.9401911822954814,13354
25,-3305.1120047503923,600,0,0,1.2697073696498251,4.68964249142113,12.283402601877848,11.51847429394722,576.3161151123047,2.73496685196956,0.07083173067619403,4.033460652430852,13954
26,-2440.1147051325643,600,0,0,2.4755616345973186,9.267594890132576,12.446207814216613,10.756806591351827,592.4451365661621,1.7471686521793406,0.08370378057161967,3.7022069219748177,14554
27,-3014.808214699782,600,0,0,1.6837151266391706,11.783962713636525,12.029054695765177,11.425435628493627,597.7620710245768,0.6510853166878223,0.09191718173523744,3.272029097477595,15154
28,-2512.6873696426255,600,0,0,0.45408618527385525,11.227617584116118,12.900066279570261,13.21018746137619,598.1517587280273,-0.28768495238075653,0.09355953320860863,2.8789152163267135,15754
29,-4265.63902908761,600,0,0,2.919118000027165,11.608976015283302,15.05723047176997,15.041425506273905,593.2892616780599,-0.4830405628619095,0.08853716429322958,2.8006813301642737,16354
30,-3294.873326757284,600,0,0,2.2214166363941015,10.584492711419056,14.478669155438741,17.04378264586131,589.8870146687825,-0.047527030644317465,0.08478328552097082,2.980559380054474,16954
31,-370.04816746525444,47,0,1,-0.0007605596480425025,10.63856287054737,14.934942915084514,17.240066041337684,590.6663259952626,-0.08950377834287096,0.08511055641351863,2.963636413533637,17001
32,-3949.003754674275,600,0,0,1.7128487134827999,11.22199158537361,16.209640196959178,19.36142963250478,587.8908260599773,0.40669821815254786,0.0877141701678435,3.1669636770089467,17601
33,-2878.938873849881,600,0,0,0.7169596075659012,10.172506855406732,15.179291211764017,17.380644448598225,585.98042872111,0.3456861669352899,0.09245628029108048,3.1454584987958274,18201
34,-4278.68656219325,600,0,0,0.3379708058099202,11.553392664669614,15.51687102953593,16.596970140139263,581.1047869364421,0.5515252531816562,0.10127311922609807,3.239931245247523,18801
35,-1692.4303853525723,600,0,0,0.7226345824445595,10.834091870392681,17.23860936721166,17.01314312616984,578.3087346394857,0.6794677097257227,0.11231551257272561,3.310574008623759,19401
36,-1615.8964355845826,600,0,0,2.239690848846802,11.22231558722449,16.78581873734792,16.281793914635976,575.099786936442,0.43500291391586265,0.12482155704249938,3.208579579194387,20001
37,-1958.7239201606567,600,0,0,0.5644987645469572,11.373074260869043,17.915398805936178,16.756537801424663,573.2368351745605,0.370128428650399,0.1347629131625096,3.1844580666224163,20601
